Object,Count,Key,Rank,Learning Objective,Name,Type,Status,Descriptiion,
Syllibus,205,S205,6,Defense Against Clothing Grab,Eue Bohk Soo 10,Technique,Untrained,Over-Belt Burn,
Syllibus,206,S206,6,Defense Against Clothing Grab,Eue Bohk Soo 11,Technique,Untrained,Over-Belt Chop,
Syllibus,207,S207,6,Defense Against Clothing Grab,Eue Bohk Soo 12,Technique,Untrained,Yuhl-Gyuhl Takedown,
Syllibus,208,S208,6,Defense Against Clothing Grab,Eue Bohk Soo 13,Technique,Untrained,Choon BooTakedown,
Syllibus,209,S209,7,Defense Against Clothing Grab,An Sohn Mok Soo 1,Technique,Untrained,Fingers,
Syllibus,210,S210,7,Defense Against Clothing Grab,An Sohn Mok Soo 2,Technique,Untrained,Elbow Drop,
Syllibus,211,S211,7,Defense Against Clothing Grab,An Sohn Mok Soo 3,Technique,Untrained,Backstreet,
Syllibus,212,S212,7,Defense Against Clothing Grab,An Sohn Mok Soo 4,Technique,Untrained,Elbow Chop,
Syllibus,213,S213,7,Defense Against Clothing Grab,An Sohn Mok Soo 5,Technique,Untrained,Hyperfoot,
Syllibus,214,S214,7,Defense Against Clothing Grab,An Sohn Mok Soo 6,Technique,Untrained,Indian Burm,
Syllibus,215,S215,8,Defense Against Clothing Grab,Maek Chi Ki 1,Technique,Untrained,Yuhl Gyuhl,
Syllibus,216,S216,8,Defense Against Clothing Grab,Maek Chi Ki 2,Technique,Untrained,Soo Sahm,
Syllibus,217,S217,8,Defense Against Clothing Grab,Maek Chi Ki 3,Technique,Untrained,Chuhn Boo,
Syllibus,218,S218,8,Defense Against Clothing Grab,Maek Chi Ki 4,Technique,Untrained,Geuk Chuhn,
Syllibus,219,S219,8,Defense Against Clothing Grab,Maek Chi Ki 5,Technique,Untrained,Hohn Soo,
Syllibus,220,S220,8,Defense Against Clothing Grab,Maek Chi Ki 6,Technique,Untrained,Gaek Joo In,
Syllibus,221,S221,8,Defense Against Clothing Grab,Maek Chi Ki 7,Technique,Untrained,Hahn Soo,
Syllibus,222,S222,8,Defense Against Clothing Grab,Maek Chi Ki 8,Technique,Untrained,Dae Po,
Syllibus,223,S223,8,Defense Against Clothing Grab,Maek Chi Ki 9,Technique,Untrained,UmKyo,
Syllibus,224,S224,8,Defense Against Clothing Grab,Maek Chi Ki 10,Technique,Untrained,Goo Mi,
